Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
Hooky,"Hook Norton Brewery","English Bitter",3.5,0,,"The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,,"2013-02-09 21:02:01",https://untappd.com/c/22037834,https://untappd.com/beer/37237,https://untappd.com/brewery/670,England
Pedigree,"Marston's Beer Co","English Pale Ale",4.5,0,,,,,,,4,"2013-02-09 21:27:14",https://untappd.com/c/22041387,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England
"Punk IPA",BrewDog,"American IPA",5.6,45,"I think I've earnt this...",,,,,,4.5,"2013-02-11 19:59:23",https://untappd.com/c/22219698,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"In a can!","The White Horse","Greater London","Greater London",51.4744,-0.200549,5,"2013-02-11 20:23:43",https://untappd.com/c/22220360,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-02-12 19:07:26",https://untappd.com/c/22266772,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Sainsbury's Taste The Difference Tap Room IPA","Genesee Brewing Company","American IPA",6.3,0,"Wasn't sure about this at first. Guess I was expecting a West Coast style IPA, but this is different. Half way between a US and UK IPA",,,,,,3,"2013-02-12 19:19:44",https://untappd.com/c/22267152,https://untappd.com/beer/267257,https://untappd.com/brewery/3066,"United States"
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,,,,,,,4,"2013-02-12 20:14:56",https://untappd.com/c/22268671,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-02-13 19:11:30",https://untappd.com/c/22330985,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Franziskaner Hefe-Weissbier Naturtrüb",Spaten-Franziskaner-Löwenbräu-Gruppe,Hefeweizen,5,4,"@jonhickman - £1.50 a bottle in Sainsbury's!",,,,,,4.5,"2013-02-13 19:35:30",https://untappd.com/c/22331552,https://untappd.com/beer/14564,https://untappd.com/brewery/1176,Germany
Duvel,"Duvel Moortgat","Belgian Strong Pale Ale",8.5,0,"Another £1.50 special from Fulham Broadway Sainsbury's",,,,,,4,"2013-02-13 21:53:35",https://untappd.com/c/22335827,https://untappd.com/beer/6868,https://untappd.com/brewery/167,Belgium
