Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2013-12-30 22:01:46",https://untappd.com/c/61174708,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Classic Collection - India Pale Ale","Shepherd Neame","English IPA",6.1,0,"And another one, left out at room temperature, and using my IPA glass",,,,,,4.5,"2013-12-30 22:49:19",https://untappd.com/c/61183335,https://untappd.com/beer/40422,https://untappd.com/brewery/1132,England
"India Pale Ale (IPA)","Goose Island Beer Co.","English IPA",5.9,55,,,,,,,3.5,"2013-12-31 21:06:00",https://untappd.com/c/61344779,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,"United States"
"Barry Island IPA","Brains Craft Brewery","American IPA",6,0,,,,,,,3,"2013-12-31 21:07:12",https://untappd.com/c/61345053,https://untappd.com/beer/196441,https://untappd.com/brewery/45903,Wales
"Fuggles IPA","Shipyard Brewing Company","English IPA",5.8,0,"Nice to see an American IPA using English hops",,,,,,3.5,"2013-12-31 21:26:52",https://untappd.com/c/61349737,https://untappd.com/beer/1539,https://untappd.com/brewery/2392,"United States"
1845,"Fuller, Smith & Turner ","English Strong Ale",6.3,0,"Most flavoursome thing I've had all night",,,,,,4,"2013-12-31 22:05:20",https://untappd.com/c/61359657,https://untappd.com/beer/19611,https://untappd.com/brewery/3296,England
Simpleton,"Magic Rock Brewing","English IPA",2.6,0,"Given the ABV, this is lovely",,,,,,4,"2014-01-03 21:09:43",https://untappd.com/c/61914342,https://untappd.com/beer/302759,https://untappd.com/brewery/13156,England
"Route des épices","Brasserie Dieu du Ciel","Rye Beer",5.3,0,"Spicy spicy rye!",,,,,,4,"2014-01-03 22:45:54",https://untappd.com/c/61930560,https://untappd.com/beer/10086,https://untappd.com/brewery/1674,Canada
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2014-01-04 00:08:15",https://untappd.com/c/61951925,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Happy Ending",Lovibonds,Hefeweizen,5,0,,,,,,,3.5,"2014-01-04 00:08:58",https://untappd.com/c/61952127,https://untappd.com/beer/477667,https://untappd.com/brewery/9511,England
"Erdinger Kristall","Erdinger Weissbräu","Kristallweizen ",5.3,0,,,,,,,3.5,"2014-01-04 20:44:12",https://untappd.com/c/62116204,https://untappd.com/beer/21190,https://untappd.com/brewery/1019,Germany
"Trappistes Rochefort 6","Abbaye Notre-Dame de Saint-Rémy","Belgian Dubbel",7.5,35,,,,,,,4,"2014-01-04 21:32:36",https://untappd.com/c/62128053,https://untappd.com/beer/10722,https://untappd.com/brewery/1650,Belgium
"Courage Russian Imperial Stout (2011)","Charles Wells Brewery","Russian Imperial Stout",10,0,"Surprise find in Tesco. Sweet with a smoky finish.",,,,,,4,"2014-01-04 21:57:07",https://untappd.com/c/62134815,https://untappd.com/beer/376627,https://untappd.com/brewery/1348,England
Wainwright,"Thwaites Brewery","Golden Ale",4.1,0,"Literally like a breath of fresh air",,,,,,4.5,"2014-01-04 23:08:22",https://untappd.com/c/62157552,https://untappd.com/beer/9934,https://untappd.com/brewery/4609,England
"Table Beer","The Kernel Brewery","English Pale Ale",3.4,0,Lovely,,,,,,4,"2014-01-06 13:05:00",https://untappd.com/c/62458315,https://untappd.com/beer/243048,https://untappd.com/brewery/3376,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-01-09 20:43:58",https://untappd.com/c/62752997,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Stout,"Titanic Brewery",Stout,4.5,0,"Never had this bottled before. Beautifully balanced between sweetness, bitterness and smokiness #beerbods",,,,,,4,"2014-01-09 21:12:55",https://untappd.com/c/62754990,https://untappd.com/beer/28346,https://untappd.com/brewery/1709,England
Explorer,Adnams,"Blonde Ale",4.3,42,,,,,,,4.5,"2014-01-10 13:11:30",https://untappd.com/c/62856833,https://untappd.com/beer/4004,https://untappd.com/brewery/11,England
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2014-01-10 21:19:32",https://untappd.com/c/62885274,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
Quirkafleeg,Pezbraü,Hefeweizen,5.2,0,"Not many left now :(",,,,,,4.5,"2014-01-10 22:08:30",https://untappd.com/c/62892778,https://untappd.com/beer/529759,https://untappd.com/brewery/50721,England
Landlord,"Timothy Taylor & Co. Ltd","English Pale Ale",4.3,0,,,,,,,3.5,"2014-01-12 20:42:20",https://untappd.com/c/63375563,https://untappd.com/beer/8676,https://untappd.com/brewery/2386,England
"Christmas Ale","St. Peter’s Brewery Co.","Dark Ale",7,0,,"Jerusalem Tavern",Clerkenwell,"Greater London",51.5217,-0.104199,3.5,"2014-01-15 17:57:00",https://untappd.com/c/63673025,https://untappd.com/beer/271183,https://untappd.com/brewery/2855,England
"Ruby Red Ale","St. Peter’s Brewery Co.","English Brown Ale",4.3,0,,,,,,,3,"2014-01-15 18:22:13",https://untappd.com/c/63674003,https://untappd.com/beer/39546,https://untappd.com/brewery/2855,England
"Vedett Extra Blond","Duvel Moortgat","Pale Lager",5.2,0,,,,,,,4,"2014-01-15 22:01:14",https://untappd.com/c/63686588,https://untappd.com/beer/8653,https://untappd.com/brewery/167,Belgium
"Super Bock Stout","Unicer Bebidas",Stout,5,0,,,,,,,,"2014-01-15 22:01:28",https://untappd.com/c/63686615,https://untappd.com/beer/46595,https://untappd.com/brewery/1308,Portugal
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,,,,,,4,"2014-01-16 15:27:49",https://untappd.com/c/63778525,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Pale Ale Motueka","The Kernel Brewery","American Pale Ale",5.6,0,,,,,,,4.5,"2014-01-16 16:23:00",https://untappd.com/c/63779425,https://untappd.com/beer/79966,https://untappd.com/brewery/3376,England
"How To Disappear Completely",BrewDog,"English Mild Ale",2.8,35,"Like a turbocharged Banks's Mild, only lower ABV. I could drink this all night. And probably will","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2014-01-17 20:54:52",https://untappd.com/c/63931800,https://untappd.com/beer/46219,https://untappd.com/brewery/241,Scotland
"How To Disappear Completely",BrewDog,"English Mild Ale",2.8,35,"And again",,,,,,4,"2014-01-17 22:48:00",https://untappd.com/c/63952617,https://untappd.com/beer/46219,https://untappd.com/brewery/241,Scotland
"Blitz! Raspberry",BrewDog,"Berliner Weisse",3.4,0,Berliner!,,,,,,4,"2014-01-17 22:52:30",https://untappd.com/c/63953801,https://untappd.com/beer/474191,https://untappd.com/brewery/241,Scotland
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2014-01-18 00:34:40",https://untappd.com/c/63986926,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Classic Collection - Double Stout","Shepherd Neame",Stout,5.2,0,"Om Nom Nom",,,,,,4.5,"2014-01-18 20:07:29",https://untappd.com/c/64168280,https://untappd.com/beer/259254,https://untappd.com/brewery/1132,England
"Classic Collection - India Pale Ale","Shepherd Neame","English IPA",6.1,0,,,,,,,4.5,"2014-01-18 21:13:35",https://untappd.com/c/64188003,https://untappd.com/beer/40422,https://untappd.com/brewery/1132,England
"Classic Collection - Double Stout","Shepherd Neame",Stout,5.2,0,,,,,,,4.5,"2014-01-18 22:17:15",https://untappd.com/c/64209184,https://untappd.com/beer/259254,https://untappd.com/brewery/1132,England
"Classic Collection - India Pale Ale","Shepherd Neame","English IPA",6.1,0,,,,,,,4.5,"2014-01-19 21:32:43",https://untappd.com/c/64476262,https://untappd.com/beer/40422,https://untappd.com/brewery/1132,England
"Camden Hells","Camden Town Brewery","Helles Lager",4.6,26,,,,,,,4,"2014-01-20 13:02:21",https://untappd.com/c/64616088,https://untappd.com/beer/158571,https://untappd.com/brewery/10433,England
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2014-01-23 20:47:37",https://untappd.com/c/64943000,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-01-23 21:38:55",https://untappd.com/c/64947099,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Explorer,Adnams,"Blonde Ale",4.3,42,,"Green Man",Middleton,Warwickshire,52.582,-1.7424,4.5,"2014-01-24 13:13:51",https://untappd.com/c/65052937,https://untappd.com/beer/4004,https://untappd.com/brewery/11,England
"Caesar Augustus","Williams Brothers Brewing Co.","IPL (India Pale Lager)",4.1,0,"A supermarket favourite",,,,,,4,"2014-01-24 20:14:42",https://untappd.com/c/65075985,https://untappd.com/beer/77447,https://untappd.com/brewery/1367,Scotland
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2014-01-24 20:41:25",https://untappd.com/c/65079462,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-01-24 21:36:30",https://untappd.com/c/65087459,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Valley Of The Shadows",Pezbraü,"Russian Imperial Stout",9.8,0,"It gets better. Wish I'd left it on the cherries for longer",,,,,,4,"2014-01-25 19:44:05",https://untappd.com/c/65314429,https://untappd.com/beer/524915,https://untappd.com/brewery/50721,England
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2014-01-25 20:49:54",https://untappd.com/c/65334954,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-01-25 21:50:45",https://untappd.com/c/65355075,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-01-26 20:22:52",https://untappd.com/c/65606359,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Motueka Session Ale","Arbor Ales","English Pale Ale",3.8,0,,,,,,,4,"2014-01-28 21:09:22",https://untappd.com/c/65832756,https://untappd.com/beer/448425,https://untappd.com/brewery/12952,England
"Biere De Table","The Kernel Brewery","Saison / Farmhouse Ale",4.5,0,,,,,,,4,"2014-01-28 21:10:19",https://untappd.com/c/65832812,https://untappd.com/beer/330677,https://untappd.com/brewery/3376,England
"01/01 Saison Citra","Brew By Numbers","Saison / Farmhouse Ale",5.5,0,"Like a summer's day.",,,,,,4,"2014-01-29 17:09:21",https://untappd.com/c/65926310,https://untappd.com/beer/507690,https://untappd.com/brewery/50834,England
"Valley Of The Shadows",Pezbraü,"Russian Imperial Stout",9.8,0,,,,,,,4,"2014-01-30 21:37:42",https://untappd.com/c/66055971,https://untappd.com/beer/524915,https://untappd.com/brewery/50721,England
"Wild Raven","Thornbridge Brewery","Black IPA / Cascadian Dark Ale",6.6,65,,,,,,,5,"2014-01-31 21:01:56",https://untappd.com/c/66196968,https://untappd.com/beer/24126,https://untappd.com/brewery/2047,England
Halcyon,"Thornbridge Brewery","Imperial / Double IPA",7.4,0,,,,,,,5,"2014-01-31 21:46:45",https://untappd.com/c/66204039,https://untappd.com/beer/13845,https://untappd.com/brewery/2047,England
"Pilsner Urquell","Plzensky Prazdroj","Czech Pilsener",4.4,40,,,,,,,4,"2014-02-01 15:59:01",https://untappd.com/c/66391882,https://untappd.com/beer/37936,https://untappd.com/brewery/1459,"Czech Republic"
"India Pale Ale","Harbour Brewing Co","English IPA",5.2,0,,,,,,,4,"2014-02-02 20:11:14",https://untappd.com/c/66711840,https://untappd.com/beer/138897,https://untappd.com/brewery/25103,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2014-02-02 20:53:29",https://untappd.com/c/66722133,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,,,,,,,5,"2014-02-03 20:31:45",https://untappd.com/c/66966955,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Broadside Strong Original",Adnams,"English Strong Ale",6.3,0,"Robust, malty, sticky and chocolatey. An alpha male beer this one.",,,,,,4.5,"2014-02-05 18:24:47",https://untappd.com/c/67145621,https://untappd.com/beer/306296,https://untappd.com/brewery/11,England
"Wild Raven","Thornbridge Brewery","Black IPA / Cascadian Dark Ale",6.6,65,,,,,,,5,"2014-02-05 20:17:40",https://untappd.com/c/67152265,https://untappd.com/beer/24126,https://untappd.com/brewery/2047,England
"Southwold Bitter",Adnams,"English Bitter",4.1,33,,,,,,,3.5,"2014-02-06 22:03:23",https://untappd.com/c/67271049,https://untappd.com/beer/89431,https://untappd.com/brewery/11,England
"The Big Top","Magic Rock Brewing","Imperial / Double Red Ale",7,2,,,,,,,4,"2014-02-07 21:14:54",https://untappd.com/c/67411710,https://untappd.com/beer/233014,https://untappd.com/brewery/13156,England
"How To Disappear Completely",BrewDog,"English Mild Ale",2.8,35,"I LOVE THIS. Speaks to the Black Country mun in me I think.",,,,,,4.5,"2014-02-07 22:08:51",https://untappd.com/c/67421413,https://untappd.com/beer/46219,https://untappd.com/brewery/241,Scotland
"03/02 Liberty Porter","Brew By Numbers","American Porter",5.7,0,,,,,,,3,"2014-02-07 22:47:48",https://untappd.com/c/67430596,https://untappd.com/beer/564205,https://untappd.com/brewery/50834,England
"Hello My Name Is Vladimir",BrewDog,"Imperial / Double IPA",8.2,70,"Last bottle in Brewdog Birmingham :) Despite the controversy, it's a top drink. A well balanced double IPA with a fruity berry nose",,,,,,4.5,"2014-02-08 20:16:20",https://untappd.com/c/67653741,https://untappd.com/beer/579813,https://untappd.com/brewery/241,Scotland
Halcyon,"Thornbridge Brewery","Imperial / Double IPA",7.4,0,,,,,,,5,"2014-02-08 21:12:05",https://untappd.com/c/67671805,https://untappd.com/beer/13845,https://untappd.com/brewery/2047,England
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2014-02-08 22:30:08",https://untappd.com/c/67699429,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Snake Dog IPA","Flying Dog Brewery","American IPA",7.1,0,,,,,,,3.5,"2014-02-11 21:10:22",https://untappd.com/c/68164270,https://untappd.com/beer/3759,https://untappd.com/brewery/540,"United States"
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,"It's been a while",,,,,,5,"2014-02-12 17:32:20",https://untappd.com/c/68262198,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"Schneider Weisse Original (TAP7)","Weisses Bräuhaus G. Schneider & Sohn",Hefeweizen,5.4,14,,,,,,,5,"2014-02-13 21:36:01",https://untappd.com/c/68414482,https://untappd.com/beer/11982,https://untappd.com/brewery/1023,Germany
"Shooting Dice","Red Even","American Pale Ale",4.2,0,"Extra .5 for it being local",,,,,,4,"2014-02-13 21:45:11",https://untappd.com/c/68415674,https://untappd.com/beer/651989,https://untappd.com/brewery/115816,England
Explorer,Adnams,"Blonde Ale",4.3,42,,,,,,,4.5,"2014-02-14 13:16:40",https://untappd.com/c/68532591,https://untappd.com/beer/4004,https://untappd.com/brewery/11,England
"Old World India Pale Ale",BrewDog,"English IPA",7.5,57,"Touch of sm",,,,,,5,"2014-02-14 20:52:38",https://untappd.com/c/68563884,https://untappd.com/beer/81902,https://untappd.com/brewery/241,Scotland
"01/06 Saison Motueka & Lime","Brew By Numbers","Saison / Farmhouse Ale",5,0,,,,,,,4,"2014-02-14 21:31:12",https://untappd.com/c/68569798,https://untappd.com/beer/551706,https://untappd.com/brewery/50834,England
"Weihenstephaner Kristallweissbier","Bayerische Staatsbrauerei Weihenstephan","Kristallweizen ",5.4,16,,,,,,,3.5,"2014-02-14 22:59:51",https://untappd.com/c/68588296,https://untappd.com/beer/1637,https://untappd.com/brewery/88,Germany
"Blitz! Raspberry",BrewDog,"Berliner Weisse",3.4,0,,,,,,,4,"2014-02-15 00:19:41",https://untappd.com/c/68613218,https://untappd.com/beer/474191,https://untappd.com/brewery/241,Scotland
"Schneider Weisse Unser Aventinus (TAP6)","Weisses Bräuhaus G. Schneider & Sohn",Weizenbock,8.2,16,"Probably my least favourite of all the Schnieders so far, but then I've never got on with weizenbocks",,,,,,3.5,"2014-02-15 21:15:49",https://untappd.com/c/68827789,https://untappd.com/beer/16851,https://untappd.com/brewery/1023,Germany
Halcyon,"Thornbridge Brewery","Imperial / Double IPA",7.4,0,"This has in no way been influenced by anyb",,,,,,5,"2014-02-15 22:01:39",https://untappd.com/c/68845229,https://untappd.com/beer/13845,https://untappd.com/brewery/2047,England
"Aecht Schlenkerla Rauchbier - Märzen","Brauerei Schlenkerla",Rauchbier,5.1,0,"Like drinking bacon. Starts off smoky as hell, and then drops to a beautifully clean finish",,,,,,4.5,"2014-02-16 21:00:46",https://untappd.com/c/69116478,https://untappd.com/beer/471,https://untappd.com/brewery/2001,Germany
"Best Bitter","Hackney Brewery","English Bitter",4.4,0,"Lovely post modern best bitter",,,,,,4,"2014-02-18 12:45:03",https://untappd.com/c/69374481,https://untappd.com/beer/188742,https://untappd.com/brewery/32715,England
Kipling,"Thornbridge Brewery","New Zealand Pale Ale",5.2,0,"Post-presentation beer",,,,,,4,"2014-02-19 22:14:36",https://untappd.com/c/69509870,https://untappd.com/beer/12268,https://untappd.com/brewery/2047,England
"Wild Raven","Thornbridge Brewery","Black IPA / Cascadian Dark Ale",6.6,65,,,,,,,5,"2014-02-20 21:28:44",https://untappd.com/c/69632019,https://untappd.com/beer/24126,https://untappd.com/brewery/2047,England
Explorer,Adnams,"Blonde Ale",4.3,42,,,,,,,4.5,"2014-02-21 13:22:56",https://untappd.com/c/69755054,https://untappd.com/beer/4004,https://untappd.com/brewery/11,England
"India Pale Ale","Harbour Brewing Co","English IPA",5.2,0,,,,,,,4,"2014-02-21 20:08:09",https://untappd.com/c/69785558,https://untappd.com/beer/138897,https://untappd.com/brewery/25103,England
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,,,,,,,5,"2014-02-21 21:24:10",https://untappd.com/c/69797449,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
Kipling,"Thornbridge Brewery","New Zealand Pale Ale",5.2,0,,,,,,,4,"2014-02-21 22:16:05",https://untappd.com/c/69807526,https://untappd.com/beer/12268,https://untappd.com/brewery/2047,England
"Blueberry Ale","The Brewhouse ","English Mild Ale",0,0,,,,,,,3,"2014-02-22 17:07:19",https://untappd.com/c/70010299,https://untappd.com/beer/572744,https://untappd.com/brewery/106155,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-02-22 21:09:59",https://untappd.com/c/70077482,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Marks & Spencer Greenwich Smoked Bock","Meantime Brewing Company","Smoked Beer",6,0,"Nah, not for me.",,,,,,2.5,"2014-02-23 21:07:35",https://untappd.com/c/70375393,https://untappd.com/beer/483989,https://untappd.com/brewery/844,England
Wreckless,"Redwillow Brewery","English Pale Ale",4.8,0,,,,,,,4,"2014-02-25 12:48:59",https://untappd.com/c/70591559,https://untappd.com/beer/28510,https://untappd.com/brewery/11038,England
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,"My third place beer. Not quite to style. Should've used carafa, or put the dark malt in later in the mash. S'nice though.",,,,,,4,"2014-02-27 20:38:15",https://untappd.com/c/70848488,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,,,,,,,5,"2014-02-27 21:37:41",https://untappd.com/c/70853962,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
Cannonball,"Magic Rock Brewing","American IPA",7.4,0,,,,,,,4,"2014-02-28 20:53:45",https://untappd.com/c/71012269,https://untappd.com/beer/61315,https://untappd.com/brewery/13156,England
"Deviant Dale's","Oskar Blues Brewery","American IPA",8,85,,,,,,,4,"2014-02-28 21:51:17",https://untappd.com/c/71022235,https://untappd.com/beer/11844,https://untappd.com/brewery/956,"United States"
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,,,,,,,4,"2014-02-28 22:23:07",https://untappd.com/c/71029740,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
"American Dream",Mikkeller,"Pale Lager",4.6,0,,,,,,,3.5,"2014-03-01 22:21:53",https://untappd.com/c/71335396,https://untappd.com/beer/28493,https://untappd.com/brewery/2813,Denmark
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2014-03-01 23:20:36",https://untappd.com/c/71359180,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Sessions: Cloud 9 Wit","To Øl",Witbier,4.6,0,,,,,,,3,"2014-03-01 23:25:30",https://untappd.com/c/71361389,https://untappd.com/beer/586774,https://untappd.com/brewery/2241,Denmark
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-03-01 23:56:37",https://untappd.com/c/71376022,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Top Of The Hops 2014","Great Yorkshire Brewery","Golden Ale",4.5,0,"Too many bittering hops, not enough aroma",,,,,,3,"2014-03-02 15:11:46",https://untappd.com/c/71549837,https://untappd.com/beer/548227,https://untappd.com/brewery/20540,England
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,,,,,,4.5,"2014-03-02 21:06:39",https://untappd.com/c/71598657,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Caesar Augustus","Williams Brothers Brewing Co.","IPL (India Pale Lager)",4.1,0,,,,,,,4,"2014-03-02 21:12:19",https://untappd.com/c/71599762,https://untappd.com/beer/77447,https://untappd.com/brewery/1367,Scotland
"Broken Dream","Siren Craft Brew",Stout,6.5,0,,,,,,,4,"2014-03-03 16:30:26",https://untappd.com/c/71723203,https://untappd.com/beer/323318,https://untappd.com/brewery/55184,England
"Biere De Table Oak Aged Saison (BA Red Wine)","The Kernel Brewery","Saison / Farmhouse Ale",4.1,0,"I know it's Monday, but sod it, I've earnt this",,,,,,4.5,"2014-03-03 20:49:19",https://untappd.com/c/71737221,https://untappd.com/beer/588648,https://untappd.com/brewery/3376,England
"Quelle Saison",Beavertown,"Saison / Farmhouse Ale",4.1,0,"THIS IS AMAZING",,,,,,5,"2014-03-05 17:07:06",https://untappd.com/c/71967794,https://untappd.com/beer/564198,https://untappd.com/brewery/24735,England
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,"Now with added labels!",,,,,,4,"2014-03-05 21:27:17",https://untappd.com/c/71984628,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
"Table Beer","The Kernel Brewery","English Pale Ale",3.4,0,,"The Euston Tap",London,"Greater London",51.527,-0.13248,4,"2014-03-06 15:24:20",https://untappd.com/c/72092627,https://untappd.com/beer/243048,https://untappd.com/brewery/3376,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2014-03-06 21:10:00",https://untappd.com/c/72112669,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,,,,,,,5,"2014-03-07 21:13:02",https://untappd.com/c/72281717,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,"Still wish I hadn't put that much dark malt in, but lovely all the same",,,,,,4.5,"2014-03-07 21:13:53",https://untappd.com/c/72281873,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,5,"2014-03-07 21:47:38",https://untappd.com/c/72288484,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Bengali Tiger","Sixpoint Brewery","American IPA",6.4,62,"Believe the hype!",,,,,,5,"2014-03-09 20:37:03",https://untappd.com/c/72881442,https://untappd.com/beer/4960,https://untappd.com/brewery/1149,"United States"
"The Crisp","Sixpoint Brewery","German Pilsner",5.4,42,Meh,,,,,,2.5,"2014-03-09 21:03:52",https://untappd.com/c/72888439,https://untappd.com/beer/11517,https://untappd.com/brewery/1149,"United States"
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,,,,,,,4.5,"2014-03-10 21:06:08",https://untappd.com/c/73027727,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
Tzara,"Thornbridge Brewery",Kölsch,4.8,0,"Spring = Time for Kölsch",,,,,,4.5,"2014-03-12 17:02:53",https://untappd.com/c/73243748,https://untappd.com/beer/108038,https://untappd.com/brewery/2047,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,"I almost had a fit when I saw this was on","The White Horse",,,52.5345,-1.74007,5,"2014-03-13 18:10:37",https://untappd.com/c/73382550,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Marks & Spencer Greenwich Red Ale","Meantime Brewing Company","American Amber / Red Ale",4,0,,,,,,,3,"2014-03-13 21:02:35",https://untappd.com/c/73398998,https://untappd.com/beer/323800,https://untappd.com/brewery/844,England
Interstellar,BrewDog,"Rye Beer",6.5,65,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-03-14 20:56:31",https://untappd.com/c/73576007,https://untappd.com/beer/509363,https://untappd.com/brewery/241,Scotland
"Something Something Dark Side","Weird Beard Brew Co.","Black IPA / Cascadian Dark Ale",9.4,0,,,,,,,4.5,"2014-03-14 21:26:00",https://untappd.com/c/73583293,https://untappd.com/beer/521851,https://untappd.com/brewery/30704,England
"Light Relief","Long Itch Brewery","English Bitter",3.8,0,,,,,,,3.5,"2014-03-14 22:18:15",https://untappd.com/c/73599385,https://untappd.com/beer/383504,https://untappd.com/brewery/62469,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4,"2014-03-15 20:53:48",https://untappd.com/c/73885484,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Revisionist Belgian Saison Beer","Marston's Beer Co","Saison / Farmhouse Ale",5,0,"A tad on the sweet side, but pleasant nonetheless",,,,,,3.5,"2014-03-15 21:24:59",https://untappd.com/c/73898494,https://untappd.com/beer/602131,https://untappd.com/brewery/1517,England
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,,,,,,,4.5,"2014-03-15 22:21:33",https://untappd.com/c/73924176,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4,"2014-03-16 20:46:51",https://untappd.com/c/74180947,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Revisionist Rye Pale Ale","Marston's Beer Co","American Pale Ale",4.3,0,"This isn't half bad you know",,,,,,4,"2014-03-16 21:09:59",https://untappd.com/c/74187476,https://untappd.com/beer/600593,https://untappd.com/brewery/1517,England
"India Pale Ale","Harbour Brewing Co","English IPA",5.2,0,,,,,,,4,"2014-03-18 21:16:34",https://untappd.com/c/74518793,https://untappd.com/beer/138897,https://untappd.com/brewery/25103,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4,"2014-03-20 20:26:53",https://untappd.com/c/74773322,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"The William Weston",Pezbraü,"Black IPA / Cascadian Dark Ale",7.5,75,,,,,,,4.5,"2014-03-20 21:12:10",https://untappd.com/c/74779828,https://untappd.com/beer/601332,https://untappd.com/brewery/50721,England
